checkpoint,steps,mean_reward,std_reward
sac_models_optimizers_position_46500.pth,46500,-8.624377656921205,6.104052341227962
sac_models_optimizers_position_47000.pth,47000,-13.6948618859035,12.770347057185223
sac_models_optimizers_position_47500.pth,47500,-14.765319274795928,23.134632753834115
sac_models_optimizers_position_48000.pth,48000,-9.457286109847434,4.437360088229052
sac_models_optimizers_position_48500.pth,48500,-63.265498257493725,69.3239710422877
sac_models_optimizers_position_49000.pth,49000,-14.745345671895945,12.094313094740647
sac_models_optimizers_position_49500.pth,49500,-14.347570097866418,14.251482015313915
sac_models_optimizers_position_50000.pth,50000,-12.937168529420914,14.630104623360618
sac_models_optimizers_position_50500.pth,50500,-18.166310308228834,19.50810488602361
sac_models_optimizers_position_51000.pth,51000,-8.972773042204699,7.256947467112919
sac_models_optimizers_position_51500.pth,51500,-15.474757268355315,21.763588083960542
sac_models_optimizers_position_52000.pth,52000,-93.95807934268576,105.17138451054238
sac_models_optimizers_position_52500.pth,52500,-88.9890277379433,95.9658465183789
sac_models_optimizers_position_53000.pth,53000,-118.1370593520095,129.51784822158154
sac_models_optimizers_position_53500.pth,53500,-9.832738160639103,7.254818581744707
sac_models_optimizers_position_54000.pth,54000,-23.917516989607222,33.2279885874732
sac_models_optimizers_position_54500.pth,54500,-12.394600009605973,11.578635393377514
sac_models_optimizers_position_55000.pth,55000,-15.05287669042729,26.224985059278623
sac_models_optimizers_position_55500.pth,55500,-20.154369102205536,31.93555938009524
sac_models_optimizers_position_56000.pth,56000,-14.075469483503262,15.803493790394052
sac_models_optimizers_position_56500.pth,56500,-15.366155947007158,23.177256160844045
sac_models_optimizers_position_57000.pth,57000,-14.564961078643012,19.123573274343258
sac_models_optimizers_position_57500.pth,57500,-12.516445236462612,13.28447749846268
sac_models_optimizers_position_58000.pth,58000,-23.060911696037472,32.90801330140182
sac_models_optimizers_position_58500.pth,58500,-11.11075937904846,10.591971017120994
sac_models_optimizers_position_59000.pth,59000,-24.632211351659937,40.10616394782574
sac_models_optimizers_position_59500.pth,59500,-14.400519585892605,16.147353389702733
sac_models_optimizers_position_60000.pth,60000,-9.10991859887441,5.730364437419137
sac_models_optimizers_position_60500.pth,60500,-9.713161093631536,7.174347360542579
sac_models_optimizers_position_61000.pth,61000,-18.388148182060895,23.655341699648332
sac_models_optimizers_position_61500.pth,61500,-7.156566933573511,3.640835097839319
sac_models_optimizers_position_62000.pth,62000,-13.564180692992664,9.368994634875456
sac_models_optimizers_position_62500.pth,62500,-24.006582335561504,29.926120807021537
sac_models_optimizers_position_63000.pth,63000,-8.274922702077818,3.3453097215443446
sac_models_optimizers_position_63500.pth,63500,-6.7843047923723425,2.1306348091604432
sac_models_optimizers_position_64000.pth,64000,-32.94810847490317,53.79468768985784
sac_models_optimizers_position_64500.pth,64500,-7.475345778648712,3.0219008420495497
sac_models_optimizers_position_65000.pth,65000,-9.813767736577773,5.135081457064728
sac_models_optimizers_position_65500.pth,65500,-42.56406144216363,50.93603876717249
sac_models_optimizers_position_66000.pth,66000,-64.92229647014742,62.896631780372964
sac_models_optimizers_position_66500.pth,66500,-19.19748621455506,29.092526993249724
sac_models_optimizers_position_67000.pth,67000,-38.511374233034346,62.392057048029024
sac_models_optimizers_position_67500.pth,67500,-22.00300057331693,24.235411161058828
sac_models_optimizers_position_68000.pth,68000,-52.9589644194429,65.59608722829779
sac_models_optimizers_position_68500.pth,68500,-23.009283584132294,26.146605804789548
